municipio,fecha,luces_nocturnas,densid_vial,imae,interaccion_causal,area_km2,imae_primario,imae_secundario,imae_terciario,poblacion_estimada,categoria
Municipio Yalagüina,2021-10-01,0.249276950955391,0.9063200505754851,162.292730849732,147.0891560317627,71.40755290770491,213.432054604097,160.0495348874903,147.83622545838324,13360.908203125,Estrato Alto
Municipio Yalagüina,2021-11-01,0.225802302360535,0.9063200505754851,162.508740808214,147.2849301882589,71.40755290770491,215.435093765601,160.8599594600463,148.37506266771967,13360.908203125,Estrato Alto
Municipio Yalagüina,2021-12-01,0.278979033231735,0.9063200505754851,162.722158302165,147.4783547421703,71.40755290770491,217.1209977082084,161.20130980448138,148.97390034135728,13360.908203125,Estrato Alto
Municipio Yalagüina,2022-01-01,0.249834686517715,0.9063200505754851,162.984897090529,147.71648017412846,71.40755290770491,218.4638844248672,161.0175196806084,149.6661907263409,13360.908203125,Estrato Alto
Municipio Yalagüina,2022-02-01,0.222547143697739,0.9063200505754851,163.408524137895,148.10042186112238,71.40755290770491,219.3075662147306,160.4421434179051,150.48600434124572,13360.908203125,Estrato Alto
Municipio Yalagüina,2022-03-01,0.336354285478592,0.9063200505754851,164.109539141473,148.73576581461936,71.40755290770491,219.72950136462455,159.4839050231337,151.3710969748723,13360.908203125,Estrato Alto
Municipio Yalagüina,2022-04-01,0.362986505031586,0.9063200505754851,165.002345977855,149.54493455172323,71.40755290770491,219.39863075041495,158.1471733737828,152.31405855680785,13360.908203125,Estrato Alto
Municipio Yalagüina,2022-05-01,0.186621010303497,0.9063200505754851,165.869645007138,150.33098505180706,71.40755290770491,218.78757998186535,156.56940313847508,153.3546417421392,13360.908203125,Estrato Alto
Municipio Yalagüina,2022-06-01,0.168218836188316,0.9063200505754851,166.478690372869,150.88297507847918,71.40755290770491,218.344300545184,154.84531956024043,154.4734620416306,13360.908203125,Estrato Alto
Municipio Yalagüina,2022-07-01,0.235586136579514,0.9063200505754851,166.728249648282,151.10915565359306,71.40755290770491,218.08396634523945,153.32069313534635,155.59865874983748,13360.908203125,Estrato Alto
Municipio Yalagüina,2022-08-01,0.182063475251198,0.9063200505754851,166.689882849823,151.07438305487327,71.40755290770491,218.3394993994708,152.3950490901933,156.6059387157626,13360.908203125,Estrato Alto
Municipio Yalagüina,2022-09-01,0.379342615604401,0.9063200505754851,166.55391837403,150.9511557242961,71.40755290770491,219.19194333789105,152.46446350837795,157.364692506896,13360.908203125,Estrato Alto
Municipio Yalagüina,2022-10-01,0.447466850280762,0.9063200505754851,166.498253360775,150.90070540666756,71.40755290770491,220.5358506691022,153.5265781242775,157.80171531058318,13360.908203125,Estrato Alto
Municipio Yalagüina,2022-11-01,0.235408380627632,0.9063200505754851,166.554234635324,150.95144235824807,71.40755290770491,221.7416584945484,155.17678521716746,157.92151040358323,13360.908203125,Estrato Alto
Municipio Yalagüina,2022-12-01,0.290128886699677,0.9063200505754851,166.790924427615,151.16595906276797,71.40755290770491,222.1257809453736,157.00593648327364,157.86837481831617,13360.908203125,Estrato Alto
Municipio Yalagüina,2023-01-01,0.228163570165634,0.9063200505754851,167.212617764311,151.54814818900962,71.40755290770491,221.7075259257962,158.96899136862535,157.85267033536496,13360.908203125,Estrato Alto
Municipio Yalagüina,2023-02-01,0.252956479787827,0.9063200505754851,167.825384910544,152.1035113399745,71.40755290770491,220.6801117095148,161.1134182819292,158.10103493261835,13360.908203125,Estrato Alto
Municipio Yalagüina,2023-03-01,0.265288561582565,0.9063200505754851,168.755512465454,152.9465045925822,71.40755290770491,219.5734454509652,163.32357007634155,158.70763262865003,13360.908203125,Estrato Alto
